temperature;humidity;wind_speed;wind_gust;daily_ra;monthly_ra;yearly_ra;uv_0_11;date
23.2;98.0;0.0;0.0;0.0;5.35;11.37;0;2020-02-22T12:25:00+00:00
24.6;98.0;0.0;0.0;0.0;5.35;11.37;0;2020-02-22T07:55:00+00:00
26.4;98.0;0.0;0.0;0.33;5.35;11.37;0;2020-02-22T04:55:00+00:00
26.8;97.0;0.0;0.0;0.33;5.35;11.37;0;2020-02-22T04:25:00+00:00
27.9;95.0;0.0;0.0;0.33;5.35;11.37;0;2020-02-22T02:55:00+00:00
28.2;94.0;0.0;0.0;0.33;5.35;11.37;0;2020-02-22T02:25:00+00:00
36.0;69.0;0.0;0.0;0.33;5.35;11.37;1;2020-02-21T22:25:00+00:00
36.3;66.0;0.0;0.0;0.33;5.35;11.37;1;2020-02-21T21:55:00+00:00
36.0;67.0;0.0;0.0;0.33;5.35;11.37;1;2020-02-21T21:25:00+00:00
35.4;70.0;0.4;2.5;0.33;5.35;11.37;2;2020-02-21T20:55:00+00:00
35.6;73.0;0.2;2.5;0.33;5.35;11.37;2;2020-02-21T20:25:00+00:00
34.5;68.0;0.0;0.0;0.27;5.29;11.31;3;2020-02-21T18:50:00+00:00
33.1;71.0;0.0;0.0;0.2;5.22;11.24;1;2020-02-21T17:55:00+00:00
32.2;73.0;0.0;0.0;0.12;5.14;11.16;2;2020-02-21T16:55:00+00:00
27.0;89.0;0.0;0.0;0.0;5.02;11.04;0;2020-02-21T12:25:00+00:00
27.7;90.0;0.0;0.0;0.0;5.02;11.04;0;2020-02-21T11:55:00+00:00
29.7;91.0;0.0;0.0;0.0;5.02;11.04;0;2020-02-21T10:55:00+00:00
30.6;93.0;0.0;0.0;0.0;5.02;11.04;0;2020-02-21T10:25:00+00:00
30.9;96.0;0.0;0.0;0.0;5.02;11.04;0;2020-02-21T09:55:00+00:00
32.0;99.0;0.0;0.0;0.0;5.02;11.04;0;2020-02-21T08:25:00+00:00
